code,recommendation,recommendation2,recommendation3
0,단백질이 풍부한 계란 오믈렛과 함께 비타민이 많은 신선한 과일을 드시기를 권장드립니다.,"""규칙적인 식사와 충분한 수면이 건강 유지에 중요합니다.""",규칙적인 식사와 충분한 수면이 건강 유지에 중요합니다.
0,흰 쌀밥 대신 섬유질이 풍부한 퀴노아 샐러드를 선택해보세요.,"""식사를 거르지 말고 꼭 챙겨 드세요. 하루를 시작하는 좋은 에너지원이 됩니다.""",식사를 거르지 말고 꼭 챙겨 드세요. 하루를 시작하는 좋은 에너지원이 됩니다.
0,포화지방이 적은 닭가슴살과 오메가-3가 풍부한 연어를 함께 드시기를 추천드립니다.,"""매일 30분 정도 가벼운 산책을 해보세요. 심신이 상쾌해집니다.""",매일 30분 정도 가벼운 산책을 해보세요. 심신이 상쾌해집니다.
0,고당도의 과자 대신 비타민 C가 많은 오렌지를 드셔보세요.,"""물을 충분히 마시고, 카페인 섭취는 줄이는 것이 좋습니다.""","물을 충분히 마시고, 카페인 섭취는 줄이는 것이 좋습니다."
0,주스 대신에 당분이 적고 칼로리가 낮은 녹차를 마셔보세요.,"""스트레칭을 자주 해주세요. 근육의 긴장을 풀어주고 피로를 예방합니다.""",스트레칭을 자주 해주세요. 근육의 긴장을 풀어주고 피로를 예방합니다.
0,단순 탄수화물이 많은 빵 대신 단백질과 섬유질이 풍부한 귀리 오트밀을 드셔보세요.,"""식사할 때 채소와 과일을 충분히 섭취하세요. 비타민과 미네랄이 풍부합니다.""",식사할 때 채소와 과일을 충분히 섭취하세요. 비타민과 미네랄이 풍부합니다.
0,단백질과 좋은 지방이 포함된 아보카도 토스트를 드시기를 권장드립니다.,"""하루에 최소 7시간 이상의 수면을 취하세요. 몸과 마음의 회복에 도움이 됩니다.""",하루에 최소 7시간 이상의 수면을 취하세요. 몸과 마음의 회복에 도움이 됩니다.
0,혈압을 낮추는 데 도움이 되는 토마토가 들어간 샐러드를 드셔보세요.,"""규칙적인 운동을 통해 활기찬 몸을 유지하세요. 체력과 면역력을 높입니다.""",규칙적인 운동을 통해 활기찬 몸을 유지하세요. 체력과 면역력을 높입니다.
0,고지방의 과자 대신 불포화지방산이 많은 아몬드를 섭취해보세요.,"""컴퓨터나 스마트폰을 오래 사용하지 말고, 눈의 피로를 풀어주세요.""","컴퓨터나 스마트폰을 오래 사용하지 말고, 눈의 피로를 풀어주세요."
0,아보카도와 토마토를 곁들인 통곡물 토스트를 추천드립니다.,"""하루에 한번씩 깊은 호흡을 하며 명상을 해보세요. 마음이 편안해집니다.""",하루에 한번씩 깊은 호흡을 하며 명상을 해보세요. 마음이 편안해집니다.
0,비타민 D가 풍부한 연어를 곁들인 토스트를 드셔보세요.,"""일주일에 한번은 새로운 취미를 시작해보세요. 뇌를 자극하고 새로운 즐거움을 줍니다.""",일주일에 한번은 새로운 취미를 시작해보세요. 뇌를 자극하고 새로운 즐거움을 줍니다.
0,단백질이 많고 지방이 적은 콩 샐러드를 추천드립니다.,"""식사 후 가벼운 산책을 해보세요. 소화에 도움이 됩니다.""",식사 후 가벼운 산책을 해보세요. 소화에 도움이 됩니다.
0,소화를 돕는 섬유질이 많은 브로콜리를 곁들인 닭고기 스테이크를 드셔보세요,"""자기 전에 따뜻한 차 한잔을 마시면 숙면에 도움이 됩니다.""",자기 전에 따뜻한 차 한잔을 마시면 숙면에 도움이 됩니다.
0,당도가 높은 과자 대신 항산화 성분이 많은 블루베리를 섭취해보세요.,"""가벼운 스트레칭으로 하루를 마무리하세요.""",가벼운 스트레칭으로 하루를 마무리하세요.
0,비타민 B가 많은 바나나와 함께 그릭 요거트를 드셔보세요.,"""일을 할 때는 1시간마다 잠시 일어나서 몸을 풀어주세요. 피로를 예방합니다.""",일을 할 때는 1시간마다 잠시 일어나서 몸을 풀어주세요. 피로를 예방합니다.
0,"렌틸콩, 당근, 양파로 만든 따뜻한 스프를 즐기세요","""주말에는 자연 속에서 시간을 보내세요. 스트레스 해소에 좋습니다.""",주말에는 자연 속에서 시간을 보내세요. 스트레스 해소에 좋습니다.
0,"통곡물 빵에 모짜렐라 치즈와 토마토, 바질을 넣어 섭취해보세요.","""친구나 가족과 함께 시간을 보내며 긍정적인 에너지를 얻으세요.""",친구나 가족과 함께 시간을 보내며 긍정적인 에너지를 얻으세요.
0,오메가-3 지방산이 풍부한 연어와 함께 다양한 색상의 채소를 섭취하세요.,"""식사를 할 때는 천천히 씹어 드세요. 소화가 잘 되고 포만감을 느낄 수 있습니다.""",식사를 할 때는 천천히 씹어 드세요. 소화가 잘 되고 포만감을 느낄 수 있습니다.
0,칼슘이 풍부한 저지방 요거트와 함께 베리류를 추가하여 건강을 챙기세요.,"""몸의 유연성을 위해 요가나 필라테스를 해보세요. 긴장을 풀어줍니다.""",몸의 유연성을 위해 요가나 필라테스를 해보세요. 긴장을 풀어줍니다.
0,비타민C가 많은 키위와 단백질이 풍부한 닭가슴살을 함께 드셔보세요.,"""자기 전에는 스마트폰 사용을 줄이고, 독서나 음악 감상을 해보세요.""","자기 전에는 스마트폰 사용을 줄이고, 독서나 음악 감상을 해보세요."
0,비타민A가 풍부한 당근과 단백질이 많은 렌틸콩 스프를 섭취하세요.,"""하루 중 잠깐이라도 맨발로 걷는 시간을 가져보세요. 발 건강에 좋습니다.""",하루 중 잠깐이라도 맨발로 걷는 시간을 가져보세요. 발 건강에 좋습니다.
0,섬유질이 많은 현미와 다양한 채소로 만든 볶음밥을 드세요.,"""신선한 공기를 마시며 간단한 운동을 해보세요. 활력이 생깁니다.""",신선한 공기를 마시며 간단한 운동을 해보세요. 활력이 생깁니다.
0,단백질이 풍부한 콩과 함께 철분이 많은 브로콜리를 드세요.,"""일주일에 한 번은 새로운 요리를 시도해보세요. 식사의 즐거움을 높여줍니다.""",일주일에 한 번은 새로운 요리를 시도해보세요. 식사의 즐거움을 높여줍니다.
0,비타민E가 많은 아몬드와 오메가-3 지방산이 풍부한 참치를 함께 섭취하세요.,"""매일 햇볕을 쬐며 비타민 D를 보충하세요. 뼈 건강에 좋습니다.""",매일 햇볕을 쬐며 비타민 D를 보충하세요. 뼈 건강에 좋습니다.
0,칼슘이 풍부한 두부와 비타민K가 많은 케일 샐러드를 드세요.,"""음식을 골고루 섭취하고, 편식을 피하세요. 영양소를 균형 있게 섭취하는 것이 중요합니다.""","음식을 골고루 섭취하고, 편식을 피하세요. 영양소를 균형 있게 섭취하는 것이 중요합니다."
0,섬유질이 많은 귀리와 단백질이 풍부한 그릭 요거트를 함께 드세요.,"""하루에 한 번은 감사한 일을 떠올려보세요. 긍정적인 마음가짐을 갖게 됩니다.""",하루에 한 번은 감사한 일을 떠올려보세요. 긍정적인 마음가짐을 갖게 됩니다.
0,비타민D가 많은 +B1연어와 함께 항산화제가 풍부한 블루베리를 섭취하세요.,"""계단을 자주 이용하세요. 간단한 운동이 됩니다.""",계단을 자주 이용하세요. 간단한 운동이 됩니다.
0,단백질이 많은 병아리콩과 비타민C가 풍부한 피망을 함께 드세요.,"""자주 웃고 긍정적인 태도를 유지하세요. 면역력이 높아집니다.""",자주 웃고 긍정적인 태도를 유지하세요. 면역력이 높아집니다.
0,고지방 육류 대신에 생선이나 닭가슴살을 선택하세요.,"""자연 친화적인 공간에서 시간을 보내며 스트레스를 해소하세요.""",자연 친화적인 공간에서 시간을 보내며 스트레스를 해소하세요.
0,"통곡물 빵과 상추, 오이 등 야채를 곁들인 샌드위치를 만들어 드세요.","""균형 잡힌 식단과 함께 충분한 휴식을 취하세요. 전반적인 건강을 유지하는 데 도움이 됩니다.""",균형 잡힌 식단과 함께 충분한 휴식을 취하세요. 전반적인 건강을 유지하는 데 도움이 됩니다.
0,신선한 시금치와 달걀을 넣어 만든 시금치 달걀볶음은 단백질과 비타민이 풍부하여 건강한 아침 식사로 좋습니다.,매일 아침 햇빛을 받으며 15분 정도 산책을 하세요.,매일 아침 햇빛을 받으며 15분 정도 산책을 하세요.
0,다양한 채소와 현미를 넣어 만든 비빔밥은 섬유질과 미네랄이 풍부해 포만감을 주고 소화 기능을 촉진합니다.,아침마다 스트레칭으로 하루를 시작해 보세요.,아침마다 스트레칭으로 하루를 시작해 보세요.
0,저지방 두부와 브로콜리를 넣어 만든 두부 브로콜리 샐러드는 단백질과 비타민 C를 보충해 주어 영양 균형을 맞춰줍니다.,신선한 채소와 과일을 매일 식단에 포함시키세요.,신선한 채소와 과일을 매일 식단에 포함시키세요.
0,해조류와 연두부를 넣어 만든 미역 연두부국은 저칼로리 식단으로 가볍게 즐길 수 있는 한 끼 식사입니다.,매일 2리터 이상의 물을 마셔서 수분을 충분히 섭취하세요.,매일 2리터 이상의 물을 마셔서 수분을 충분히 섭취하세요.
0,항산화제가 많은 양배추와 비타민 C가 풍부한 당근을 넣어 만든 양배추 당근 샐러드는 신선하고 건강한 반찬입니다.,밤 10시 이전에 잠자리에 들고 규칙적인 수면 패턴을 유지하세요.,밤 10시 이전에 잠자리에 들고 규칙적인 수면 패턴을 유지하세요.
0,오메가-3 지방산이 풍부한 연어를 구워서 다양한 채소와 함께 섭취하면 영양 가득한 한 끼 식사로 이상적입니다.,스마트폰 사용을 줄이고 책을 읽는 시간을 늘려보세요.,스마트폰 사용을 줄이고 책을 읽는 시간을 늘려보세요.
0,섬유질이 많은 귀리밥과 신선한 채소를 넣어 만든 귀리밥 비빔밥은 포만감을 주고 소화 기능을 돕습니다.,매주 새로운 건강한 레시피를 시도해 보세요.,매주 새로운 건강한 레시피를 시도해 보세요.
0,비타민이 풍부한 양배추와 단백질이 많은 닭가슴살을 넣어 만든 양배추 닭가슴살 샐러드는 건강한 식사를 위해 적합합니다.,하루에 10분씩 명상이나 심호흡을 통해 마음을 안정시키세요.,하루에 10분씩 명상이나 심호흡을 통해 마음을 안정시키세요.
0,고구마와 브로콜리를 넣어 만든 채소 그라탱은 비타민과 미네랄이 풍부하여 영양 균형을 유지하는 데 도움이 됩니다.,주말마다 자연 속에서 산책하거나 하이킹을 해보세요.,주말마다 자연 속에서 산책하거나 하이킹을 해보세요.
0,신선한 시금치와 단백질이 많은 두부를 넣어 만든 시금치 두부 샐러드는 가벼운 한 끼 식사로 이상적입니다.,커피 대신 허브티를 마셔보세요.,커피 대신 허브티를 마셔보세요.
0,섬유질이 풍부한 현미와 다양한 신선한 채소를 넣어 만든 현미 비빔밥은 소화 기능을 촉진하고 포만감을 줍니다.,정기적으로 근력 운동을 포함한 운동 루틴을 유지하세요.,정기적으로 근력 운동을 포함한 운동 루틴을 유지하세요.
0,비타민이 많은 양배추와 항산화제가 풍부한 토마토를 넣어 만든 양배추 토마토 샐러드는 신선하고 건강한 반찬입니다.,식사 후 가벼운 산책을 하여 소화를 돕고 기분을 전환하세요.,식사 후 가벼운 산책을 하여 소화를 돕고 기분을 전환하세요.
0,단백질이 풍부한 닭가슴살과 신선한 채소를 넣어 만든 닭가슴살 샐러드는 영양 균형을 맞춰주어 건강한 식사를 제공합니다.,하루에 한 끼는 채식으로 식단을 구성해 보세요.,하루에 한 끼는 채식으로 식단을 구성해 보세요.
0,항산화제가 많은 브로콜리와 비타민 C가 풍부한 오이를 넣어 만든 브로콜리 오이 샐러드는 신선하고 건강한 반찬입니다.,정기적으로 건강 검진을 받으세요.,정기적으로 건강 검진을 받으세요.
0,섬유질이 풍부한 보리밥과 다양한 신선한 채소를 넣어 만든 보리밥 비빔밥은 포만감을 주고 소화 기능을 돕습니다.,자기 전 스마트폰을 멀리하고 책을 읽거나 음악을 들어보세요.,자기 전 스마트폰을 멀리하고 책을 읽거나 음악을 들어보세요.
0,비타민이 풍부한 양배추와 단백질이 많은 두부를 넣어 만든 양배추 두부 샐러드는 건강한 식사를 위해 적합합니다.,하루에 적어도 30분은 몸을 움직이세요.,하루에 적어도 30분은 몸을 움직이세요.
0,고구마와 시금치를 넣어 만든 채소 볶음은 비타민과 미네랄이 풍부하여 영양 균형을 유지하는 데 도움이 됩니다.,매일 감사 일기를 써보세요.,매일 감사 일기를 써보세요.
0,신선한 시금치와 항산화제가 많은 블루베리를 넣어 만든 시금치 블루베리 샐러드는 가벼운 한 끼 식사로 이상적입니다.,"음식을 천천히 씹으며 먹고, 식사 시간을 즐기세요.","음식을 천천히 씹으며 먹고, 식사 시간을 즐기세요."
0,섬유질이 풍부한 귀리밥과 다양한 신선한 채소를 넣어 만든 귀리밥 비빔밥은 소화 기능을 촉진하고 포만감을 줍니다.,가족이나 친구와 함께 요가나 필라테스 수업을 들어보세요.,가족이나 친구와 함께 요가나 필라테스 수업을 들어보세요.
0,비타민이 많은 양배추와 단백질이 풍부한 닭가슴살을 넣어 만든 양배추 닭가슴살 샐러드는 영양 균형을 맞춰주어 건강한 식사를 제공합니다.,하루에 한 번은 깊게 심호흡을 하며 스트레스를 해소하세요.,하루에 한 번은 깊게 심호흡을 하며 스트레스를 해소하세요.
0,항산화제가 많은 브로콜리와 비타민 C가 풍부한 당근을 넣어 만든 브로콜리 당근 샐러드는 신선하고 건강한 반찬입니다.,정기적으로 마사지를 받아보세요.,정기적으로 마사지를 받아보세요.
0,섬유질이 풍부한 현미와 다양한 신선한 채소를 넣어 만든 현미 비빔밥은 소화 기능을 촉진하고 포만감을 줍니다.,자신을 위해 시간을 내어 취미 활동을 즐기세요.,자신을 위해 시간을 내어 취미 활동을 즐기세요.
0,비타민이 많은 양배추와 단백질이 많은 연두부를 넣어 만든 양배추 연두부 샐러드는 건강한 식사를 위해 적합합니다.,일주일에 한 번은 새로운 운동을 시도해 보세요.,일주일에 한 번은 새로운 운동을 시도해 보세요.
0,고구마와 브로콜리를 넣어 만든 채소 그라탱은 비타민과 미네랄이 풍부하여 영양 균형을 유지하는 데 도움이 됩니다.,규칙적으로 비타민과 영양제를 섭취하세요.,규칙적으로 비타민과 영양제를 섭취하세요.
0,신선한 시금치와 단백질이 많은 두부를 넣어 만든 시금치 두부 샐러드는 가벼운 한 끼 식사로 이상적입니다.,하루에 한 번은 주변 사람들에게 친절을 베풀어 보세요.,하루에 한 번은 주변 사람들에게 친절을 베풀어 보세요.
0,섬유질이 풍부한 보리밥과 다양한 신선한 채소를 넣어 만든 보리밥 비빔밥은 소화 기능을 촉진하고 포만감을 줍니다.,자연식품을 주로 먹고 가공식품을 줄이세요.,자연식품을 주로 먹고 가공식품을 줄이세요.
0,비타민이 많은 양배추와 항산화제가 풍부한 토마토를 넣어 만든 양배추 토마토 샐러드는 신선하고 건강한 반찬입니다.,저녁 식사 후에는 단 음식을 피하세요.,저녁 식사 후에는 단 음식을 피하세요.
0,단백질이 풍부한 닭가슴살과 신선한 채소를 넣어 만든 닭가슴살 샐러드는 영양 균형을 맞춰주어 건강한 식사를 제공합니다.,정기적으로 일기나 감정 일기를 써서 자신의 감정을 표현하세요.,정기적으로 일기나 감정 일기를 써서 자신의 감정을 표현하세요.
0,항산화제가 많은 브로콜리와 비타민 C가 풍부한 오이를 넣어 만든 브로콜리 오이 샐러드는 신선하고 건강한 반찬입니다.,매일 잠자리에 들기 전 간단한 스트레칭을 해보세요.,매일 잠자리에 들기 전 간단한 스트레칭을 해보세요.
0,섬유질이 풍부한 귀리밥과 다양한 신선한 채소를 넣어 만든 귀리밥 비빔밥은 소화 기능을 촉진하고 포만감을 줍니다.,아침에 일어나면 찬물로 얼굴을 씻어보세요.,아침에 일어나면 찬물로 얼굴을 씻어보세요.
1,"흰빵보다는 통밀빵으로 선택하시고, 과일주스 대신 신선한 과일을 드시는 것을 권장드립니다. 통밀빵에는 셀레늄이 풍부하여 갑상선 기능에 도움을 줍니다.","""오늘도 잘 보내셨나요? 충분한 휴식과 수면이 갑상선 건강에 중요합니다.""",오늘도 잘 보내셨나요? 충분한 휴식과 수면이 갑상선 건강에 중요합니다.
1,"백미 대신 현미밥을 드시고, 소고기 대신 오메가-3가 풍부한 연어를 드시는 것이 좋습니다.","""스트레스는 갑상선 기능에 영향을 줄 수 있습니다. 스트레스 관리를 위해 명상을 해보세요.""",스트레스는 갑상선 기능에 영향을 줄 수 있습니다. 스트레스 관리를 위해 명상을 해보세요.
